timestamp_ms,ax,ay,az,gx,gy,gz,current_raw,label
3384,-9.0537,13.0939,-13.4817,0.3112,1.4011,-0.1553,2957,critical
3394,-12.9407,-5.1475,7.4041,0.3696,-1.4296,-2.9817,2953,critical
3404,-10.8996,-7.1946,-16.5487,-0.4700,0.6118,0.6432,2953,critical
3414,-10.4507,-2.8826,10.0868,-0.3451,-1.1594,2.3843,2958,critical
3424,-10.6015,12.9323,-14.3616,0.1943,1.2116,-0.3328,2950,critical
3434,-12.3493,-12.6258,11.5209,0.5073,-1.3424,-2.9271,2950,critical
3444,-12.5827,-7.6315,-17.2335,-0.4405,0.3381,0.7232,2954,critical
3454,-12.1590,2.8096,12.8174,-0.3552,-1.0299,2.4142,2954,critical
3464,-12.8365,12.7372,-14.4011,0.1077,0.9785,-0.5148,2957,critical
3474,-8.6263,-17.9793,16.6984,0.6592,-1.0579,-2.7744,2945,critical
3484,-14.6693,-7.6459,-17.9721,-0.3643,0.0456,0.8045,2951,critical
3494,-12.2056,8.3534,15.0464,-0.4210,-0.8316,2.3939,2956,critical
3504,-14.8381,12.7395,-14.3880,0.0306,0.7352,-0.7008,2938,critical
3514,-2.7880,-20.6751,19.7522,0.7171,-0.6491,-2.5445,2964,critical
3524,-16.3177,-7.1371,-18.3168,-0.2411,-0.2545,0.9089,2944,critical
3534,-9.4224,12.6450,17.5675,-0.5057,-0.4762,2.2862,2963,critical
3544,-15.9107,12.4618,-14.3245,-0.0221,0.4834,-0.8942,2946,critical
3554,3.4608,-22.5127,21.3036,0.6416,-0.2094,-2.2449,2950,critical
3564,-16.8588,-6.6451,-17.6752,-0.1548,-0.5236,1.0088,2951,critical
3574,-4.1875,13.6051,19.0614,-0.5279,-0.0434,2.1370,2961,critical
3584,-15.2223,12.1171,-14.2539,-0.0544,0.2097,-1.0912,2954,critical
3594,8.9567,-24.8063,21.7681,0.4834,0.2030,-1.8956,2954,critical
3604,-16.3823,-6.3159,-16.8336,-0.1085,-0.7557,1.1058,2955,critical
3614,1.7011,12.7898,19.2171,-0.4405,0.4223,1.9223,2967,critical
3624,-13.1310,11.7400,-13.8505,-0.0346,-0.0525,-1.2780,2945,critical
3634,10.0521,-24.9823,18.4988,0.3136,0.6083,-1.4935,2952,critical
3644,-14.8129,-6.2381,-15.3013,-0.0981,-0.9787,1.2132,2953,critical
3654,5.4564,11.6131,18.9417,-0.2830,0.8513,1.6617,2951,critical
3664,-10.7775,11.5484,-13.5141,-0.0080,-0.3168,-1.4703,2940,critical
3674,5.6312,-22.9293,14.9278,0.1234,0.9926,-1.1010,2952,critical
3684,-12.7491,-6.2525,-12.9047,-0.1005,-1.1807,1.3272,2945,critical
3694,4.3778,10.6662,16.2075,-0.0389,1.2321,1.3856,2950,critical
3704,-9.2392,11.0959,-12.9335,0.0176,-0.5518,-1.6731,2960,critical
3714,-2.1368,-19.2159,9.5505,-0.0786,1.2886,-0.7517,2965,critical
3724,-10.9619,-6.3398,-10.1694,-0.1519,-1.3717,1.4586,2956,critical
3734,-1.2737,10.2843,12.0297,0.2531,1.4682,1.1327,2965,critical
3744,-9.0154,10.5177,-11.8142,0.0328,-0.7954,-1.8967,2959,critical
3754,-10.3753,-15.0978,3.2513,-0.1953,1.4464,-0.4450,2947,critical
3764,-9.9719,-6.7552,-7.2676,-0.2300,-1.4837,1.5759,2959,critical
3774,-8.4144,10.6374,6.8510,0.5249,1.6377,0.9265,2965,critical
3784,-9.9982,10.1382,-10.4483,0.0834,-0.9923,-2.1075,2949,critical
3794,-16.3428,-11.1306,-1.9692,-0.1887,1.5218,-0.1548,2960,critical
3804,-9.3350,-7.0904,-4.2078,-0.3070,-1.6036,1.7182,2985,critical
3814,-13.6900,11.0684,1.0307,0.6912,1.7291,0.7128,2958,critical
3824,-10.9966,9.7384,-8.6838,0.1519,-1.1700,-2.3201,2955,critical
3834,-19.1093,-7.8458,-7.4400,-0.2102,1.5188,0.0853,2948,critical
3844,-8.4575,-7.1287,-1.0894,-0.3437,-1.6238,1.8612,2961,critical
3854,-11.9973,10.9642,3.2130,0.6438,1.6859,0.7933,2948,critical
3864,-10.6159,9.8773,-9.3518,0.1223,-1.1162,-2.2561,2952,critical
3874,-18.5946,-8.7604,-5.8526,-0.2017,1.5183,0.0181,2953,critical
3884,-8.7077,-7.0629,-2.0818,-0.3344,-1.6265,1.8165,2955,critical
3894,-14.8512,11.5125,-2.3822,0.7168,1.7589,0.5718,2960,critical
3904,-11.0049,9.4104,-7.0234,0.1921,-1.2473,-2.4674,2952,critical
3914,-18.4389,-6.9695,-9.5972,-0.2888,1.4741,0.2118,2974,critical
3924,-7.8350,-7.0186,1.0750,-0.3688,-1.6065,1.9732,2966,critical
3934,-13.4422,12.3661,-7.1000,0.6848,1.7672,0.3818,2958,critical
3944,-9.7300,8.6119,-4.2186,0.2411,-1.3459,-2.6873,2949,critical
3954,-15.3121,-6.6272,-12.4295,-0.4056,1.3352,0.3725,2951,critical
3964,-6.8402,-7.0294,3.7254,-0.4133,-1.5407,2.1242,2959,critical
3974,-9.9144,13.1765,-10.2220,0.5692,1.6697,0.1609,2962,critical
3984,-10.8086,6.3961,-0.2741,0.2934,-1.3731,-2.8746,2951,critical
3994,-11.6741,-6.6702,-14.5879,-0.4477,1.0595,0.5353,2952,critical
4004,-7.0006,-6.5481,6.5733,-0.3997,-1.3859,2.2743,2953,critical
4014,-8.8849,13.3130,-12.8245,0.3680,1.4863,-0.0885,2960,critical
4024,-12.8748,-2.6971,5.9927,0.3472,-1.4333,-2.9998,2946,critical
4034,-10.6147,-7.1216,-16.2327,-0.4724,0.6784,0.6659,2963,critical
4044,-10.4914,-1.9489,10.1993,-0.3637,-1.2036,2.4059,2958,critical
4054,-10.8613,12.9083,-14.2335,0.1681,1.1884,-0.3659,2964,critical
4064,-11.7807,-14.0899,12.4894,0.5438,-1.3057,-2.9255,2958,critical
4074,-13.0939,-7.8099,-17.3639,-0.4397,0.2619,0.7794,2957,critical
4084,-12.2858,6.7313,14.4981,-0.4210,-0.9798,2.4165,2955,critical
4094,-14.1354,12.7467,-14.3149,0.0378,0.8426,-0.6398,2968,critical
4104,-4.3730,-20.4393,19.3236,0.7224,-0.7874,-2.6401,2947,critical
4114,-16.1034,-7.4520,-18.4413,-0.2862,-0.1900,0.9220,2958,critical
4124,-9.0453,13.0927,18.2103,-0.5470,-0.4970,2.2769,2938,critical
4134,-15.7886,12.4032,-14.1689,-0.0472,0.4762,-0.9212,2951,critical
4144,4.4484,-23.3327,21.7597,0.6198,-0.1468,-2.2058,2961,critical
4154,-16.9462,-6.6523,-17.5447,-0.1540,-0.5852,1.0706,2947,critical
4164,-1.3132,13.3142,19.6588,-0.5121,0.1580,2.0214,2959,critical
4174,-14.1258,11.8693,-13.8983,-0.0584,0.0965,-1.1954,2957,critical
4184,10.1634,-25.5282,20.1520,0.3845,0.4397,-1.6598,2948,critical
4194,-15.5827,-6.4165,-16.1202,-0.1095,-0.9033,1.2129,2950,critical
4204,5.2924,11.8010,19.2973,-0.2971,0.7829,1.6654,2953,critical
4214,-10.8014,11.4766,-13.3213,-0.0149,-0.2718,-1.4629,2954,critical
4224,5.7832,-23.2262,14.8955,0.1191,0.9715,-1.0933,2963,critical
4234,-12.7096,-6.2441,-12.8964,-0.1103,-1.1826,1.3752,2947,critical
4244,3.2585,10.4339,15.3193,0.0461,1.2777,1.3017,2944,critical
4254,-8.9507,10.9714,-12.5911,0.0216,-0.6014,-1.7384,2943,critical
4264,-4.6256,-18.1888,7.5717,-0.1370,1.3347,-0.6494,2956,critical
4274,-10.4220,-6.4679,-9.1889,-0.1737,-1.4035,1.5343,2962,critical
4284,-4.9249,10.2747,9.5397,0.4325,1.5457,1.0048,2957,critical
4294,-9.4739,10.3130,-11.0840,0.0578,-0.8937,-2.0190,2943,critical
4304,-14.0276,-13.0723,0.3831,-0.2030,1.4943,-0.2681,2967,critical
4314,-9.5038,-6.9899,-5.3570,-0.2745,-1.5540,1.6875,2962,critical
4324,-12.3601,10.9511,2.7521,0.6803,1.6790,0.7613,2951,critical
4334,-10.8098,9.8605,-9.2692,0.1343,-1.1149,-2.2721,2959,critical
